archivo,formato,metodo,chars,marcas_juridicas,estado,detalle
T-435-94.rtf,.rtf,striprtf,70101,83,OK,
T-439-04.rtf,.rtf,striprtf,37078,52,OK,
T-441-10.rtf,.rtf,striprtf,68442,57,OK,
T-442-14.rtf,.rtf,striprtf,171599,221,OK,
T-442-98.rtf,.rtf,striprtf,24377,29,OK,
T-443-08.rtf,.rtf,striprtf,83321,116,OK,
T-446-07.rtf,.rtf,striprtf,232428,266,OK,
T-451-97.rtf,.rtf,striprtf,18444,35,OK,
T-453-15.rtf,.rtf,striprtf,71906,70,OK,
T-454-17.rtf,.rtf,striprtf,80178,114,OK,
T-456-05.rtf,.rtf,striprtf,95424,66,OK,
T-456-11.rtf,.rtf,striprtf,43419,84,OK,
T-457-92.rtf,.rtf,striprtf,42798,22,OK,
T-461-97.rtf,.rtf,striprtf,14909,30,OK,
T-466-11.rtf,.rtf,striprtf,158961,191,OK,
T-468-94.rtf,.rtf,striprtf,30123,13,OK,
T-471-11.rtf,.rtf,striprtf,43442,32,OK,
T-471-96.rtf,.rtf,striprtf,18035,32,OK,
T-473-08.rtf,.rtf,striprtf,175476,122,OK,
T-476-98.rtf,.rtf,striprtf,104108,105,OK,
T-477-14.docx,.docx,python-docx,111707,96,OK,
T-481-00.rtf,.rtf,striprtf,47489,67,OK,
T-481-07.rtf,.rtf,striprtf,25448,68,OK,
T-482-20.rtf,.rtf,striprtf,114667,186,OK,
T-485-01.rtf,.rtf,striprtf,18421,35,OK,
T-486-19.docx,.docx,python-docx,87431,97,OK,
T-490-25.docx,.docx,python-docx,74606,104,OK,
T-496-12.rtf,.rtf,striprtf,50870,51,OK,
T-496-92.rtf,.rtf,striprtf,62496,69,OK,
T-499-94.rtf,.rtf,striprtf,20507,31,OK,
T-502-08.rtf,.rtf,striprtf,35571,51,OK,
T-505-04.rtf,.rtf,striprtf,73228,67,OK,
T-511-93.rtf,.rtf,striprtf,34250,52,OK,
T-512-05.rtf,.rtf,striprtf,30572,40,OK,
T-514-10.rtf,.rtf,striprtf,61723,99,OK,
T-525-10.rtf,.rtf,striprtf,93219,106,OK,
T-531-07.rtf,.rtf,striprtf,25859,30,OK,
T-533-24.docx,.docx,python-docx,75489,68,OK,
T-534-94.rtf,.rtf,striprtf,15530,27,OK,
T-537-09.rtf,.rtf,striprtf,76841,180,OK,
T-544-03.rtf,.rtf,striprtf,19993,24,OK,
T-546-09.rtf,.rtf,striprtf,68571,53,OK,
T-559-95.rtf,.rtf,striprtf,24500,18,OK,
T-560-05.rtf,.rtf,striprtf,159080,132,OK,
T-561-01.rtf,.rtf,striprtf,18151,46,OK,
T-564-05.rtf,.rtf,striprtf,27091,40,OK,
T-568-15.rtf,.rtf,striprtf,95375,130,OK,
T-575-10.rtf,.rtf,striprtf,26437,69,OK,
T-583-13.rtf,.rtf,striprtf,56717,46,OK,
T-585-06.rtf,.rtf,striprtf,173827,52,OK,
T-586-06.rtf,.rtf,striprtf,41154,93,OK,
T-587-03.rtf,.rtf,striprtf,67862,95,OK,
T-591-17.docx,.docx,python-docx,171233,334,OK,
T-601-06.rtf,.rtf,striprtf,49646,102,OK,
T-601-95.rtf,.rtf,striprtf,21471,32,OK,
T-604-17.rtf,.rtf,striprtf,21841,51,OK,
T-605-95.rtf,.rtf,striprtf,19596,75,OK,
T-609-05.rtf,.rtf,striprtf,73650,178,OK,
T-614-08.rtf,.rtf,striprtf,20646,53,OK,
T-620-13.rtf,.rtf,striprtf,160081,162,OK,
T-621-02.rtf,.rtf,striprtf,125711,166,OK,
T-621-05.rtf,.rtf,striprtf,85115,166,OK,
T-624-02.rtf,.rtf,striprtf,85531,135,OK,
T-629-10.rtf,.rtf,striprtf,310072,180,OK,
T-635-09.rtf,.rtf,striprtf,133100,290,OK,
T-639-03.rtf,.rtf,striprtf,42903,62,OK,
T-641-97.rtf,.rtf,striprtf,35401,48,OK,
T-642-15.rtf,.rtf,striprtf,108512,100,OK,
T-643-10.rtf,.rtf,striprtf,58751,90,OK,
T-653-13.rtf,.rtf,striprtf,79674,90,OK,
T-657-12.rtf,.rtf,striprtf,45110,103,OK,
T-660-12.rtf,.rtf,striprtf,42346,88,OK,
T-674-97.rtf,.rtf,striprtf,12313,31,OK,
T-678-02.rtf,.rtf,striprtf,25419,32,OK,
T-679-17.docx,.docx,python-docx,116496,199,OK,
T-680-97.rtf,.rtf,striprtf,18130,39,OK,
T-681-10.rtf,.rtf,striprtf,65430,132,OK,
T-693-04.rtf,.rtf,striprtf,29699,16,OK,
T-694-10.rtf,.rtf,striprtf,73636,124,OK,
T-702-04.rtf,.rtf,striprtf,35000,96,OK,
T-702-96.rtf,.rtf,striprtf,11657,31,OK,
T-706-06.rtf,.rtf,striprtf,35014,80,OK,
T-709-17.docx,.docx,python-docx,82428,70,OK,
T-711-11.rtf,.rtf,striprtf,16191,22,OK,
T-712-04.rtf,.rtf,striprtf,28497,55,OK,
T-717-10.rtf,.rtf,striprtf,134484,97,OK,
T-726-10.rtf,.rtf,striprtf,102615,101,OK,
T-730-02.rtf,.rtf,striprtf,25777,19,OK,
T-733-13.rtf,.rtf,striprtf,85107,145,OK,
T-735-98.rtf,.rtf,striprtf,50475,45,OK,
T-739-99.rtf,.rtf,striprtf,31455,39,OK,
T-744-11.rtf,.rtf,striprtf,52507,60,OK,
T-749-04.rtf,.rtf,striprtf,60716,117,OK,
T-751-12.rtf,.rtf,striprtf,55128,102,OK,
T-761-11.rtf,.rtf,striprtf,87598,73,OK,
T-761-15.rtf,.rtf,striprtf,103118,59,OK,
T-763-06.rtf,.rtf,striprtf,48924,37,OK,
T-769-05.rtf,.rtf,striprtf,70815,113,OK,
T-775-04.rtf,.rtf,striprtf,45439,82,OK,
T-775-11.rtf,.rtf,striprtf,41563,84,OK,
T-790-10.rtf,.rtf,striprtf,122260,141,OK,
T-793-03.rtf,.rtf,striprtf,34850,48,OK,
T-795-98.rtf,.rtf,striprtf,36761,50,OK,
T-796-07.rtf,.rtf,striprtf,46681,71,OK,
T-796-09.rtf,.rtf,striprtf,36194,75,OK,
T-815-06.rtf,.rtf,striprtf,67942,167,OK,
T-819-02.rtf,.rtf,striprtf,51406,76,OK,
T-833-00.rtf,.rtf,striprtf,20897,47,OK,
T-847-11.rtf,.rtf,striprtf,43162,30,OK,
T-854-06.rtf,.rtf,striprtf,39076,74,OK,
T-855-12.rtf,.rtf,striprtf,60090,89,OK,
T-857-10.rtf,.rtf,striprtf,71809,72,OK,
T-873-00.rtf,.rtf,striprtf,22801,45,OK,
T-881-02.rtf,.rtf,striprtf,120539,105,OK,
T-897-07.rtf,.rtf,striprtf,25754,38,OK,
T-900-08.rtf,.rtf,striprtf,40546,88,OK,
T-901-02.rtf,.rtf,striprtf,73039,50,OK,
T-902-13.rtf,.rtf,striprtf,100337,137,OK,
T-908-12.rtf,.rtf,striprtf,388120,118,OK,
T-910-09.rtf,.rtf,striprtf,71477,126,OK,
T-919-14.doc,.doc,libreoffice,57841,91,OK,
T-922-02.rtf,.rtf,striprtf,41996,59,OK,
T-922-03.rtf,.rtf,striprtf,20688,39,OK,
T-923-06.rtf,.rtf,striprtf,28392,59,OK,
T-928-11.rtf,.rtf,striprtf,60670,41,OK,
T-937-08.rtf,.rtf,striprtf,27079,62,OK,
T-943-05.rtf,.rtf,striprtf,49633,54,OK,
T-958-11.rtf,.rtf,striprtf,88957,70,OK,
T-971-01.rtf,.rtf,striprtf,71468,97,OK,
T-972-07.rtf,.rtf,striprtf,62344,110,OK,
T-974-03.rtf,.rtf,striprtf,162628,115,OK,
T-978-04.rtf,.rtf,striprtf,34730,54,OK,
T-987-12.doc,.doc,libreoffice,150746,48,OK,
T-989A-05.rtf,.rtf,striprtf,31355,28,OK,
T-992-03.rtf,.rtf,striprtf,29697,40,OK,
T-992-05.rtf,.rtf,striprtf,35415,84,OK,
