archivo,metodo,paginas,chars,marcas_juridicas,estado,detalle,segundos
sc5679_2018_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_19_12_2018_po_652241_número_de_pr.pdf,nativo,124,218199,67,OK,,0.6
sc575_2022_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_04_04_2022_pon_764568_número_de_pr.pdf,nativo,67,103583,86,OK,,0.4
sc5885_2016_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_sentencia_sustituti_483811_número_de_pr.pdf,nativo,49,109541,31,OK,,0.4
sc6315_2017_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_09_05_2017_po_536772_número_de_pr.pdf,nativo,124,178410,50,OK,,0.4
sc7110_2017_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_24_05_2017_po_538590_número_de_pr.pdf,nativo,56,74053,22,OK,,0.2
sc7814_2016_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_15_06_2016_po_486274_número_de_pr.pdf,nativo,29,69815,22,OK,,0.3
sc7824_2016_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_15_06_2016_po_487350_número_de_pr.pdf,nativo,52,82863,95,OK,,0.3
sc780_2020_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_10_03_2020_pon_691929_número_de_pr.pdf,nativo,195,310505,10,OK,,0.8
sc8219_2016_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_20_06_2016_po_488470_número_de_pr.pdf,nativo,68,89679,4,OK,,0.3
sc8453_2016_clase_de_actuación_reconocimiento_de_laudo_arbitral_tipo_de_providencia_sentencia_fecha__489008_número_de_pr.pdf,nativo,44,58802,15,OK,,0.3
sc8456_2016_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_24_06_2016_po_489009_número_de_pr.pdf,nativo,28,36178,8,OK,,0.1
sc917_2020_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_14_09_2020_pon_707695_número_de_pr.pdf,nativo,39,55797,40,OK,,0.2
